EmpID,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,Department_clean,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Data_Quality_Notes
RM535,53,46-55,No,Travel_Rarely,970,Research & Development,Research & Development,7,3,Life Sciences,1,730,3,Male,59,4,4,Research Director,3,Married,14814,10k-15k,13514,3,Y,No,19,3,3,80,0,32,3,3,5,1,1,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM066,55,46-55,No,Travel_Rarely,836,Research & Development,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,10k-15k,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1011,55,46-55,No,Travel_Rarely,1136,Research & Development,Research & Development,1,4,Medical,1,1424,2,Male,81,4,4,Research Director,4,Divorced,14732,10k-15k,12414,2,Y,No,13,3,4,80,2,31,4,4,7,7,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1087,50,46-55,No,Travel_Frequently,333,Research & Development,Research & Development,22,5,Medical,1,1539,3,Male,88,1,4,Research Director,4,Single,14411,10k-15k,24450,1,Y,Yes,13,3,4,80,0,32,2,3,32,6,13,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM391,43,36-45,No,Travel_Rarely,982,Research & Development,Sales,12,3,Life Sciences,1,520,1,Male,59,2,4,Research Director,2,Divorced,14336,10k-15k,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM650,53,46-55,No,Travel_Rarely,102,Research & Development,Research & Development,23,4,Life Sciences,1,901,4,Female,72,3,4,Research Director,4,Single,14275,10k-15k,20206,6,Y,No,18,3,3,80,0,33,0,3,12,9,3,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM425,57,55+,No,Travel_Rarely,210,Sales,Sales,29,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,14118,10k-15k,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM963,51,46-55,No,Travel_Rarely,770,Human Resources,Research & Development,5,3,Life Sciences,1,1352,3,Male,84,3,4,Manager,2,Divorced,14026,10k-15k,17588,1,Y,Yes,11,3,2,80,1,33,2,3,33,9,0,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM722,50,46-55,No,Travel_Rarely,939,Research & Development,Human Resources,24,3,Life Sciences,1,1005,4,Male,95,3,4,Manufacturing Director,3,Married,13973,10k-15k,4161,3,Y,Yes,18,3,4,80,1,22,2,3,12,11,1,5,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1182,49,46-55,No,Travel_Rarely,465,Research & Development,Research & Development,6,1,Life Sciences,1,1661,3,Female,41,2,4,Healthcare Representative,3,Married,13966,10k-15k,11652,2,Y,Yes,19,3,2,80,1,30,3,3,15,11,2,12,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM317,49,46-55,No,Travel_Rarely,1091,Research & Development,Research & Development,1,2,Technical Degree,1,431,3,Female,90,2,4,Healthcare Representative,3,Single,13964,10k-15k,17810,7,Y,Yes,12,3,4,80,0,25,2,3,7,1,0,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM099,58,55+,No,Travel_Rarely,682,Sales,Research & Development,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,13872,10k-15k,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM628,52,46-55,No,Travel_Frequently,890,Research & Development,Sales,25,4,Medical,1,867,3,Female,81,2,4,Manufacturing Director,4,Married,13826,10k-15k,19028,3,Y,No,22,4,3,80,0,31,3,3,9,8,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM545,47,46-55,No,Travel_Frequently,217,Sales,Sales,3,3,Medical,1,746,4,Female,49,3,4,Sales Executive,3,Divorced,13770,10k-15k,10225,9,Y,Yes,12,3,4,80,2,28,2,2,22,2,11,13,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM839,42,36-45,Yes,Travel_Frequently,481,Sales,Research & Development,12,3,Life Sciences,1,1167,3,Male,44,3,4,Sales Executive,1,Single,13758,10k-15k,2447,0,Y,Yes,12,3,2,80,0,22,2,2,21,9,13,14,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1041,40,36-45,No,Non-Travel,218,Research & Development,Research & Development,8,1,Medical,1,1468,4,Male,55,2,3,Research Director,2,Divorced,13757,10k-15k,25178,2,Y,No,11,3,3,80,1,16,5,3,9,8,4,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1433,37,36-45,No,Travel_Rarely,161,Research & Development,Sales,10,3,Life Sciences,1,2017,3,Female,42,4,3,Research Director,4,Married,13744,10k-15k,15471,1,Y,Yes,25,4,1,80,1,16,2,3,16,11,6,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM190,51,46-55,No,Travel_Rarely,313,Research & Development,Research & Development,3,3,Medical,1,258,4,Female,98,3,4,Healthcare Representative,2,Single,13734,10k-15k,7192,3,Y,No,18,3,3,80,0,21,6,3,7,7,1,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM744,59,55+,No,Travel_Rarely,715,Research & Development,Sales,2,3,Life Sciences,1,1032,3,Female,69,2,4,Manufacturing Director,4,Single,13726,10k-15k,21829,3,Y,Yes,13,3,1,80,0,30,4,3,5,3,4,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM976,55,46-55,Yes,Travel_Rarely,267,Sales,Research & Development,13,4,Marketing,1,1372,1,Male,85,4,4,Sales Executive,3,Single,13695,10k-15k,9277,6,Y,Yes,17,3,3,80,0,24,2,2,19,7,3,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM246,31,26-35,No,Travel_Frequently,1327,Research & Development,Sales,3,4,Medical,1,337,2,Male,73,3,3,Research Director,3,Divorced,13675,10k-15k,13523,9,Y,No,12,3,1,80,1,9,3,3,2,2,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM079,37,36-45,No,Travel_Rarely,397,Research & Development,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,10k-15k,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM436,33,26-35,Yes,Travel_Rarely,1277,Research & Development,Sales,15,1,Medical,1,582,2,Male,56,3,3,Manager,3,Married,13610,10k-15k,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM276,37,36-45,No,Non-Travel,728,Research & Development,Research & Development,1,4,Medical,1,380,1,Female,80,3,3,Research Director,4,Divorced,13603,10k-15k,11677,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM216,41,36-45,No,Travel_Rarely,896,Sales,Research & Development,6,3,Life Sciences,1,298,4,Female,75,3,3,Manager,4,Single,13591,10k-15k,14674,3,Y,Yes,18,3,3,80,0,16,3,3,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM682,38,36-45,No,Travel_Rarely,1333,Research & Development,Research & Development,1,3,Technical Degree,1,950,4,Female,80,3,3,Research Director,1,Married,13582,10k-15k,16292,1,Y,No,13,3,2,80,1,15,3,3,15,12,5,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM915,55,46-55,No,Non-Travel,177,Research & Development,Sales,8,1,Medical,1,1278,4,Male,37,2,4,Healthcare Representative,2,Divorced,13577,10k-15k,25592,1,Y,Yes,15,3,4,80,1,34,3,3,33,9,15,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1446,41,36-45,No,Travel_Rarely,582,Research & Development,Research & Development,28,4,Life Sciences,1,2034,1,Female,60,2,4,Manufacturing Director,2,Married,13570,10k-15k,5640,0,Y,No,23,4,3,80,1,21,3,3,20,7,0,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM096,54,46-55,No,Travel_Rarely,1217,Research & Development,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,13549,10k-15k,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM296,42,36-45,No,Travel_Frequently,555,Sales,Research & Development,26,3,Marketing,1,404,3,Female,77,3,4,Sales Executive,2,Married,13525,10k-15k,14864,5,Y,No,14,3,4,80,1,23,2,4,20,4,4,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM091,40,36-45,No,Travel_Frequently,530,Research & Development,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,10k-15k,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM838,40,36-45,No,Travel_Frequently,593,Research & Development,Research & Development,9,4,Medical,1,1166,2,Female,88,3,3,Research Director,3,Single,13499,10k-15k,13782,9,Y,No,17,3,3,80,0,20,3,2,18,7,2,13,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM269,45,36-45,No,Travel_Rarely,1385,Research & Development,Research & Development,20,2,Medical,1,372,3,Male,79,3,4,Healthcare Representative,4,Married,13496,10k-15k,7501,0,Y,Yes,14,3,2,80,0,21,2,3,20,7,4,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1285,39,36-45,No,Travel_Rarely,1253,Research & Development,Sales,10,1,Medical,1,1800,3,Male,65,3,3,Research Director,3,Single,13464,10k-15k,7914,7,Y,No,21,4,3,80,0,9,3,3,4,3,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM056,33,26-35,No,Travel_Frequently,515,Research & Development,Human Resources,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,10k-15k,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM977,56,55+,No,Travel_Rarely,1369,Research & Development,Research & Development,23,3,Life Sciences,1,1373,4,Male,68,3,4,Manufacturing Director,2,Married,13402,10k-15k,18235,4,Y,Yes,12,3,1,80,1,33,0,3,19,16,15,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1358,42,36-45,No,Travel_Rarely,1396,Research & Development,Research & Development,6,3,Medical,1,1911,3,Male,83,3,3,Research Director,1,Married,13348,10k-15k,14842,9,Y,No,13,3,2,80,1,18,3,4,13,7,5,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1404,39,36-45,No,Travel_Rarely,119,Sales,Research & Development,15,4,Marketing,1,1975,2,Male,77,3,4,Sales Executive,1,Single,13341,10k-15k,25098,0,Y,No,12,3,1,80,0,21,3,3,20,8,11,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM751,44,36-45,No,Travel_Rarely,1448,Sales,Sales,28,3,Medical,1,1039,4,Female,53,4,4,Sales Executive,4,Married,13320,10k-15k,11737,3,Y,Yes,18,3,3,80,1,23,2,3,12,11,11,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1178,50,46-55,No,Travel_Rarely,813,Research & Development,Research & Development,17,5,Life Sciences,1,1656,4,Female,50,2,3,Research Director,1,Divorced,13269,10k-15k,21981,5,Y,No,15,3,3,80,3,19,3,3,14,11,1,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM995,52,46-55,No,Travel_Frequently,322,Research & Development,Sales,28,2,Medical,1,1401,4,Female,59,4,4,Manufacturing Director,3,Married,13247,10k-15k,9731,2,Y,Yes,11,3,2,80,1,24,3,2,5,3,0,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM078,45,36-45,No,Travel_Rarely,193,Research & Development,Sales,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,10k-15k,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM449,40,36-45,No,Travel_Rarely,302,Research & Development,Research & Development,6,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,Single,13237,10k-15k,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1328,46,46-55,No,Travel_Rarely,1319,Sales,Research & Development,3,3,Technical Degree,1,1863,1,Female,45,4,4,Sales Executive,1,Divorced,13225,10k-15k,7739,2,Y,No,12,3,4,80,1,25,5,3,19,17,2,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM402,56,55+,No,Travel_Frequently,906,Sales,Research & Development,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,13212,10k-15k,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1431,38,36-45,No,Travel_Rarely,201,Research & Development,Research & Development,10,3,Medical,1,2015,2,Female,99,1,3,Research Director,3,Married,13206,10k-15k,3376,3,Y,No,12,3,1,80,1,20,3,3,18,16,1,11,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM707,40,36-45,Yes,Non-Travel,1479,Sales,Sales,24,3,Life Sciences,1,986,2,Female,100,4,4,Sales Executive,2,Single,13194,10k-15k,17071,4,Y,Yes,16,3,4,80,0,22,2,2,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM888,42,36-45,No,Travel_Frequently,458,Research & Development,Research & Development,26,5,Medical,1,1242,1,Female,60,3,3,Research Director,1,Married,13191,10k-15k,23281,3,Y,Yes,17,3,3,80,0,20,6,3,1,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM972,51,46-55,No,Travel_Rarely,1405,Research & Development,Research & Development,11,2,Technical Degree,1,1367,4,Female,82,2,4,Manufacturing Director,2,Single,13142,10k-15k,24439,3,Y,No,16,3,2,80,0,29,1,2,5,2,0,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM822,49,46-55,No,Travel_Rarely,174,Sales,Research & Development,8,4,Technical Degree,1,1138,4,Male,56,2,4,Sales Executive,2,Married,13120,10k-15k,11879,6,Y,No,17,3,2,80,1,22,3,3,9,8,2,3,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1276,51,46-55,No,Travel_Rarely,942,Research & Development,Research & Development,3,3,Technical Degree,1,1786,1,Female,53,3,3,Manager,3,Married,13116,10k-15k,22984,2,Y,No,11,3,4,80,0,15,2,3,2,2,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1269,53,46-55,No,Non-Travel,661,Research & Development,Sales,1,4,Medical,1,1775,1,Female,60,2,4,Manufacturing Director,3,Married,12965,10k-15k,22308,4,Y,Yes,20,4,4,80,3,27,2,2,3,2,0,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1224,47,46-55,Yes,Travel_Frequently,1093,Sales,Research & Development,9,3,Life Sciences,1,1716,3,Male,82,1,4,Sales Executive,3,Married,12936,10k-15k,24164,7,Y,No,11,3,3,80,0,25,3,1,23,5,14,10,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM611,27,26-35,No,Travel_Rarely,269,Research & Development,Research & Development,5,1,Technical Degree,1,844,3,Male,42,2,3,Research Director,4,Divorced,12808,10k-15k,8842,1,Y,Yes,16,3,2,80,1,9,3,3,9,8,0,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM739,39,36-45,No,Travel_Rarely,466,Research & Development,Research & Development,1,1,Life Sciences,1,1026,4,Female,65,2,4,Manufacturing Director,4,Married,12742,10k-15k,7060,1,Y,No,16,3,3,80,1,21,3,3,21,6,11,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM353,48,46-55,No,Travel_Rarely,530,Sales,Research & Development,29,1,Medical,1,473,1,Female,91,3,3,Manager,3,Married,12504,10k-15k,23978,3,Y,No,21,4,2,80,1,15,3,1,0,0,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM214,51,46-55,No,Travel_Rarely,1469,Research & Development,Sales,8,4,Life Sciences,1,296,2,Male,81,2,3,Research Director,2,Married,12490,10k-15k,15736,5,Y,No,16,3,4,80,2,16,5,1,10,9,4,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM223,37,36-45,No,Travel_Frequently,663,Research & Development,Research & Development,11,3,Other,1,306,2,Male,47,3,3,Research Director,4,Divorced,12185,10k-15k,10056,1,Y,Yes,14,3,3,80,3,10,1,3,10,8,0,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM814,39,36-45,Yes,Travel_Frequently,203,Research & Development,Research & Development,2,3,Life Sciences,1,1127,1,Male,84,3,4,Healthcare Representative,4,Divorced,12169,10k-15k,13547,7,Y,No,11,3,4,80,3,21,4,3,18,7,11,5,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM308,38,36-45,No,Travel_Rarely,849,Research & Development,Research & Development,25,2,Life Sciences,1,421,1,Female,81,2,3,Research Director,2,Married,12061,10k-15k,26707,3,Y,No,17,3,3,80,1,19,2,3,10,8,0,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1463,39,36-45,No,Travel_Rarely,722,Sales,Research & Development,24,1,Marketing,1,2056,2,Female,60,2,4,Sales Executive,4,Married,12031,10k-15k,8828,0,Y,No,11,3,1,80,1,21,2,2,20,9,9,6,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM277,35,26-35,No,Travel_Rarely,1315,Research & Development,Research & Development,22,3,Life Sciences,1,381,2,Female,71,4,3,Manager,2,Divorced,11996,10k-15k,19100,7,Y,No,18,3,2,80,1,10,6,2,7,7,6,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM023,34,26-35,No,TravelRarely,419,Research & Development,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,10k-15k,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1422,47,46-55,No,Non-Travel,1162,Research & Development,Research & Development,1,1,Medical,1,2000,3,Female,98,3,3,Research Director,2,Married,11957,10k-15k,17231,0,Y,No,18,3,1,80,2,14,3,1,13,8,5,12,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM421,29,26-35,No,Travel_Rarely,986,Research & Development,Sales,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,11935,10k-15k,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM949,30,26-35,No,Travel_Rarely,634,Research & Development,Sales,17,4,Medical,1,1321,2,Female,95,3,3,Manager,1,Married,11916,10k-15k,25927,1,Y,Yes,23,4,4,80,2,9,2,3,9,1,0,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM759,59,55+,No,Travel_Rarely,1089,Sales,Research & Development,1,2,Technical Degree,1,1048,2,Male,66,3,3,Manager,4,Married,11904,10k-15k,11038,3,Y,Yes,14,3,3,80,1,14,1,1,6,4,0,4,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM314,33,26-35,No,Travel_Frequently,553,Research & Development,Research & Development,5,4,Life Sciences,1,428,4,Female,74,3,3,Manager,2,Married,11878,10k-15k,23364,6,Y,No,11,3,2,80,2,12,2,3,10,6,8,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM272,47,46-55,Yes,Non-Travel,666,Research & Development,Research & Development,29,4,Life Sciences,1,376,1,Male,88,3,3,Manager,2,Married,11849,10k-15k,10268,1,Y,Yes,12,3,4,80,1,10,2,2,10,7,9,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM647,53,46-55,No,Travel_Rarely,868,Sales,Research & Development,8,3,Marketing,1,897,1,Male,73,3,4,Sales Executive,4,Married,11836,10k-15k,22789,5,Y,No,14,3,3,80,1,28,3,3,2,0,2,2,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM542,36,36-45,No,Non-Travel,427,Research & Development,Sales,8,3,Life Sciences,1,742,1,Female,63,4,3,Research Director,1,Married,11713,10k-15k,20335,9,Y,No,14,3,1,80,1,10,2,3,8,7,0,5,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM591,33,26-35,No,Travel_Rarely,213,Research & Development,Sales,7,3,Medical,1,817,3,Male,49,3,3,Research Director,3,Married,11691,10k-15k,25995,0,Y,No,11,3,4,80,0,14,3,4,13,9,3,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM117,34,26-35,No,Travel_Rarely,1354,Research & Development,Research & Development,5,3,Medical,1,153,3,Female,45,2,3,Manager,1,Single,11631,10k-15k,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM457,31,26-35,No,Travel_Rarely,688,Sales,Sales,7,3,Life Sciences,1,613,3,Male,44,2,3,Manager,4,Divorced,11557,10k-15k,25291,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM342,38,36-45,No,Travel_Rarely,343,Research & Development,Research & Development,15,2,Life Sciences,1,461,3,Male,92,2,3,Research Director,4,Divorced,11510,10k-15k,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM731,30,26-35,No,Travel_Rarely,153,Research & Development,Research & Development,8,2,Life Sciences,1,1015,2,Female,73,4,3,Research Director,1,Married,11416,10k-15k,17802,0,Y,Yes,12,3,3,80,3,9,4,2,8,7,1,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1139,50,46-55,No,Travel_Frequently,1234,Research & Development,Sales,20,5,Medical,1,1606,2,Male,41,3,4,Healthcare Representative,3,Married,11245,10k-15k,20689,2,Y,Yes,15,3,3,80,1,32,3,3,30,8,12,13,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM1076,32,26-35,No,Travel_Rarely,495,Research & Development,Research & Development,10,3,Medical,1,1516,3,Male,64,3,3,Manager,4,Single,11244,10k-15k,21072,2,Y,No,25,4,2,80,0,10,5,4,5,2,0,0,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM532,32,26-35,No,Travel_Rarely,1018,Research & Development,Research & Development,3,2,Life Sciences,1,727,3,Female,39,3,3,Research Director,4,Single,11159,10k-15k,19373,3,Y,No,15,3,4,80,0,10,6,3,7,7,7,7,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
RM553,56,55+,No,Travel_Rarely,832,Research & Development,Sales,9,3,Medical,1,762,3,Male,81,3,4,Healthcare Representative,4,Married,11103,10k-15k,20420,7,Y,No,11,3,3,80,0,30,1,2,10,7,1,1,"Data cleaned by validating identifiers, removing confirmed duplicate EmpID records after backup, standardizing categorical text fields, and verifying numeric formats"
